#system	nodestatus	realm	custtag	role	eihostname	hostenv	systemtype	oslevel
p3cirylb02	LIVE	y.ci.p3	SHARED	SLB.SECONDARY	p3cirylb02	SPP	NETWORK.SIADX	ServerIron ADX 1216-4-PREM 12.5.02cT403 ASR12502c
p3cirzfw01	LIVE	r.ci.p3	SHARED	FIREWALL.FRONTEND;IES.COMPONENT	p3cirzfw01	SPP	NETWORK.ASA5550	
p3cirzfw01a	LIVE	r.ci.p3	SHARED	FIREWALL.FRONTEND;IES.COMPONENT	p3cirzfw01a	SPP	NETWORK.ASA5550	
p3cirzrv01	LIVE	r.ci.p3	SHARED	ROUTER.VPN.FRONTEND;IES.COMPONENT	p3cirzrv01	SPP	NETWORK.ASR	
p3cirzrv02	LIVE	r.ci.p3	SHARED	ROUTER.VPN.FRONTEND;IES.COMPONENT	p3cirzrv02	SPP	NETWORK.ASR	
p3dms01	FLUX	g.ei.p3	SHARED	DNS.MGMT;IP.MGMT	p3dms01	PRD	APPLIANCE.BTDIAMOND-X10	
p3dpa01	LIVE	y.cs.p3	ESC	DATAPOWER	p3dpa01	PRD	APPLIANCE.DATAPOWER	
p3dpa02	LIVE	y.cs.p3	ESC	DATAPOWER	p3dpa02	PRD	APPLIANCE.DATAPOWER	
p3dpa03	LIVE	y.ci.p3	ESC	DATAPOWER	p3dpa03	PRE	APPLIANCE.DATAPOWER	
p3dpa04	LIVE	y.ci.p3	ESC	DATAPOWER	p3dpa04	PRE	APPLIANCE.DATAPOWER	
p3dpa05	LIVE	b.ei.p3	IBM	APIM;DATAPOWER;APIM.GATEWAY.PROD.RUNINT	p3dpa05	PRD	APPLIANCE.DATAPOWER	
p3dpa06	LIVE	b.ei.p3	IBM	APIM;DATAPOWER;APIM.GATEWAY.PROD.RUNINT	p3dpa06	PRD	APPLIANCE.DATAPOWER	
p3dpa07	LIVE	y.ei.p3	IBM	APIM;DATAPOWER;APIM.GATEWAY.PROD.RUNEXT	p3dpa07	PRD	APPLIANCE.DATAPOWER	
